12-09 19-49-02: Training starting...
12-09 19-49-03: New best reward 15.0 (+nan%) at episode 0, saving model...
12-09 19-49-03: New best reward 48.0 (+220.0%) at episode 1, saving model...
12-09 19-49-04: New best reward 55.0 (+14.6%) at episode 28, saving model...
12-09 19-49-04: New best reward 60.0 (+9.1%) at episode 177, saving model...
12-09 19-49-04: New best reward 62.0 (+3.3%) at episode 264, saving model...
12-09 19-49-04: New best reward 64.0 (+3.2%) at episode 288, saving model...
12-09 19-49-05: New best reward 108.0 (+68.8%) at episode 553, saving model...
12-09 19-49-05: New best reward 110.0 (+1.9%) at episode 690, saving model...
12-09 19-49-05: New best reward 177.0 (+60.9%) at episode 746, saving model...
12-09 19-49-09: New best reward 184.0 (+4.0%) at episode 1729, saving model...
12-09 19-49-09: New best reward 198.0 (+7.6%) at episode 1766, saving model...
12-09 19-49-11: New best reward 207.0 (+4.5%) at episode 1993, saving model...
12-09 19-49-11: New best reward 235.0 (+13.5%) at episode 2094, saving model...
12-09 19-49-14: New best reward 252.0 (+7.2%) at episode 2386, saving model...
12-09 19-49-14: New best reward 301.0 (+19.4%) at episode 2418, saving model...
12-09 19-49-15: New best reward 369.0 (+22.6%) at episode 2462, saving model...
12-09 19-49-18: New best reward 375.0 (+1.6%) at episode 2748, saving model...
12-09 19-49-18: New best reward 411.0 (+9.6%) at episode 2759, saving model...
12-09 19-49-20: New best reward 412.0 (+0.2%) at episode 2864, saving model...
12-09 19-49-20: New best reward 606.0 (+47.1%) at episode 2868, saving model...
12-09 19-49-22: New best reward 609.0 (+0.5%) at episode 2961, saving model...
12-09 19-49-23: New best reward 1083.0 (+77.8%) at episode 3025, saving model...
12-09 19-50-00: New best reward 1480.0 (+36.7%) at episode 5326, saving model...
12-09 19-50-02: New best reward 2452.0 (+65.7%) at episode 5398, saving model...
12-09 19-50-04: New best reward 14630.0 (+496.7%) at episode 5442, saving model...
