12-10 00-27-42: Training starting...
12-10 00-27-43: New best reward -8.1 (+nan%) at episode 0, saving model...
12-10 00-27-43: New best reward -6.9 (-14.8%) at episode 2, saving model...
12-10 00-27-43: New best reward -6.3 (-8.7%) at episode 14, saving model...
12-10 00-27-43: New best reward -5.7 (-9.5%) at episode 17, saving model...
12-10 00-27-44: New best reward -5.1 (-10.5%) at episode 78, saving model...
12-10 00-27-44: New best reward -3.9 (-23.5%) at episode 105, saving model...
12-10 00-27-44: New best reward -2.7 (-30.8%) at episode 148, saving model...
12-10 00-27-44: New best reward 0.3 (-111.1%) at episode 377, saving model...
12-10 00-27-49: New best reward 3.3 (+1000.0%) at episode 2132, saving model...
12-10 00-27-49: New best reward 3.9 (+18.2%) at episode 2287, saving model...
12-10 00-27-58: New best reward 4.8 (+23.1%) at episode 5170, saving model...
12-10 00-28-02: New best reward 5.0 (+4.2%) at episode 6487, saving model...
12-10 00-28-04: New best reward 6.1 (+22.0%) at episode 7101, saving model...
12-10 00-28-07: New best reward 6.5 (+6.6%) at episode 7960, saving model...
12-10 00-28-14: New best reward 6.7 (+3.1%) at episode 9935, saving model...
12-10 00-28-15: New best reward 8.4 (+25.4%) at episode 10365, saving model...
12-10 00-28-18: New best reward 10.7 (+27.4%) at episode 11224, saving model...
12-10 00-32-46: New best reward 12.9 (+20.6%) at episode 68388, saving model...
12-10 00-33-40: New best reward 13.2 (+2.3%) at episode 77997, saving model...
12-10 00-33-40: New best reward 18.5 (+40.2%) at episode 78001, saving model...
12-10 00-33-40: New best reward 22.4 (+21.1%) at episode 78042, saving model...
12-10 00-33-52: New best reward 37.4 (+67.0%) at episode 79967, saving model...
12-10 00-35-08: New best reward 41.1 (+9.9%) at episode 91731, saving model...
12-10 00-39-11: New best reward 43.6 (+6.1%) at episode 126634, saving model...
12-10 00-39-26: New best reward 51.3 (+17.7%) at episode 128396, saving model...
12-10 00-39-46: New best reward 54.9 (+7.0%) at episode 131326, saving model...
